Year: 2024
compName,offseason?,type,week,avg,qualAvg,qualAvgWin,qualAvgLoose,elimAvg,elimAvgLoose,elimAvgWin
FIM District Kettering University Event #1 presented by The Gene Haas Foundation,0,District,0
Kettering Kitbot/Ri3D Pre-Season Event,0,Preseason,null
Kettering Week 0 - AM Session,0,Preseason,null
Milstein Division,0,Championship Division,null
FIM District Lake City Event,0,District,1
FIM District Lansing Event,0,District,3
FIM District Livonia Event presented by Aisin,0,District,3
FIM District LSSU Event,0,District,2
FIM District Macomb Event presented by DTE,0,District,4
Great Lakes Bay Bot Bash,1,Offseason,null
FIM District Midland Event presented by Dow,0,District,3
FIM District Milford Event presented by GM Milford Proving Ground,0,District,0
FIM District Central Michigan University Event,0,District,4
FIM District Muskegon Event presented by Renk,0,District,2
Rainbow Rumble,1,Offseason,null
FIM District St. Joseph Event presented by Whirlpool,0,District,1
FIM District Troy Event #2 presented by Magna,0,District,4
FIM District Troy Event #1 presented by Aptiv,0,District,3
FIM District Traverse City Event presented by Cone Drive,0,District,2
FIM District West Michigan Event,0,District,3
Grand Rapids Girls Robotics Competition ,1,Offseason,null
MO-KAN State Championship,1,Offseason,null
Minne Mini,1,Offseason,null
Blue Twilight Week Zero Invitational,0,Preseason,null
Central Minnesota Robotics Conference Championship,1,Offseason,null
Lake Superior Regional,0,Regional,0
Northern Lights Regional,0,Regional,0
Gitchi Gummi Get-Together,1,Offseason,null
KnightKrawler Week Zero,0,Preseason,null
Minnesota 10,000 Lakes Regional,0,Regional,5
Minnesota Granite City Regional,0,Regional,5
Minnesota Robotics Invitational,1,Offseason,null
Minnesota State High School League Championship,1,Offseason,null
Gateway Robotics Challenge (GRC),1,Offseason,null
Greater Kansas City Regional,0,Regional,5
Central Missouri Regional,0,Regional,1
St. Louis Regional,0,Regional,3
FIRST Mid-Atlantic District Championship,0,District Championship,5
Magnolia Regional,0,Regional,2
Madtown Throwdown,1,Offseason,null
Regional Monterrey presented by PrepaTec,0,Regional,0
Regional Hermosillo presented by PrepaTec,0,Regional,2
Regional Laguna presented by Peñoles,0,Regional,3
FNC District UNC Asheville Event,0,District,2
FIRST North Carolina District State Championship,0,District Championship,5
Doyenne Inspiration West,1,Offseason,null
FNC District Mecklenburg County Event,0,District,3
FNC District UNC Pembroke Event,0,District,1
North Catholic Robotics Competition,1,Offseason,null
Doyenne Inspiration East,1,Offseason,null
THOR East,1,Offseason,null
THOR West,1,Offseason,null
FNC District Wake County Event,0,District,3
FNC District Orange County Event,0,District,0
Great Northern Regional,0,Regional,1
STEM Expo - Day 1,1,Offseason,null
STEM Expo - Day 2,1,Offseason,null
New England FIRST District Championship,0,District Championship,5
New England FIRST District Championship - Ganson Division,0,District Championship Division,5
New England FIRST District Championship - Richardson Division,0,District Championship Division,5
Newton Division,0,Championship Division,null
Girls Behind the Glass,1,Offseason,null
Battle Of the Bay,1,Offseason,null
NE District UNH Event,0,District,4
Governor's Cup,1,Offseason,null
NE District Granite State Event,0,District,0
Mayhem in Merrimack,1,Offseason,null
RiverRage 27,1,Offseason,null
FMA District Allentown Event,0,District,1
Brunswick Eruption,1,Offseason,null
Duel on the Delaware,1,Offseason,null
FMA District Mount Olive Event,0,District,0
Robot Rumble at RoboCon New Jersey,1,Offseason,null
FMA District Montgomery Event,0,District,2
FMA District Seneca Event,0,District,1
FMA District Warren Hills Event,0,District,3
NMRC Open,1,Offseason,null
NMRC Championship,1,Offseason,null
Las Vegas Regional,0,Regional,4
Robot Rumble,1,Offseason,null
NYC Robo Replay,1,Offseason,null
Half Hollow Hills Robotics Invitational,1,Offseason,null
FIRST Long Island Regional,0,Regional,3
New York City Regional,0,Regional,5
Finger Lakes Regional,0,Regional,2
Rah Cha Cha Ruckus,1,Offseason,null
Rumble in the Valley,1,Offseason,null
Hudson Valley Regional,0,Regional,1
New York Tech Valley Regional,0,Regional,3
Regal Eagle Rampage,0,Preseason,null
Buckeye Regional,0,Regional,3
Curiosity Open,1,Offseason,null
Central Ohio Robotics Invitational,1,Offseason,null
Miami Valley Regional,0,Regional,5
Ohio State Championship,1,Offseason,null
Shawshank Showdown,1,Offseason,null
Oklahoma Regional,0,Regional,5
Green Country Regional,0,Regional,1
ONT District Georgian Event,0,District,2
FIRST Ontario Provincial Championship,0,District Championship,5
FIRST Ontario Provincial Championship - Science Division,0,District Championship Division,5
FIRST Ontario Provincial Championship - Technology Division,0,District Championship Division,5
Robots@CNE,1,Offseason,null
STEMley Cup Championship,1,Offseason,null
ONT District McMaster University,0,District,4
ONT District Newmarket Complex Event,0,District,1
ONT District North Bay Event,0,District,3
ONT District Durham College Event,0,District,2
ONT District Centennial College Event,0,District,1
Southwest International,1,Offseason,null
ONT District Humber College Event,0,District,3
ONT District University of Waterloo Event,0,District,3
ONT District Windsor Essex Great Lakes Event,0,District,4
Oregon BunnyBots ,1,Offseason,null
Girls' Gen Oregon,1,Offseason,null
PNW District Clackamas Academy Event,0,District,0
PNW District Oregon State Fairgrounds Event,0,District,1
PNW District Wilsonville Event,0,District,3
FIRST Chance,1,Offseason,null
Overtime Sunday,1,Offseason,null
FMA District Bensalem Event,0,District,3
Greater Pittsburgh Regional,0,Regional,0
FMA District Hatboro-Horsham Event,0,District,0
FMA District Springside Chestnut Hill Event,0,District,2
Ramp Riot,1,Offseason,null
Pacific Northwest FIRST District Championship,0,District Championship,5
Festival de Robotique Regional,0,Regional,0
NE District URI Event,0,District,2
The DOW Red Stick Rumble,1,Offseason,null
PCH District Anderson Event presented by MAGNA,0,District,1
PCH District Charleston Event presented by South Carolina Department of Education,0,District,3
SCRIW XIII,1,Offseason,null
SCRAP,1,Offseason,null
Sunset Showdown,1,Offseason,null
Taiwan Playoff,1,Offseason,null
Smoky Mountains Regional,0,Regional,0
Tennessee Valley Fair Robo-Rodeo,1,Offseason,null
Cezeri Robot Ligi Ümraniye Robotik Yarışları,1,Offseason,null
Haliç Regional,0,Regional,3
İstanbul Regional,0,Regional,1
Bosphorus Regional,0,Regional,1
Marmara Regional,0,Regional,3
FIT District Amarillo Event,0,District,4
Round Rock Robot Rodeo,1,Offseason,null
FIT District Belton Event,0,District,1
FIT District Space City @ Friendswood Event,0,District,4
FIRST In Texas District Championship,0,District Championship,5
FIRST In Texas District Championship - Mercury Division,0,District Championship Division,5
FIRST In Texas District Championship - Apollo Division,0,District Championship Division,5
FIT District Dallas Event,0,District,3
FIT District Fort Worth Event,0,District,2
FIT District Houston Event,0,District,3
FIT District Katy Event,0,District,0
NTX Tournament of Robots,1,Offseason,null
FIT District Plano Event,0,District,1
Texas Robotics Invitational,1,Offseason,null
The Remix,1,Offseason,null
FIT District San Antonio Event,0,District,2
STEM Gals,1,Offseason,null
FIT District Waco Event,0,District,0
Utah Regional,0,Regional,0
Chesapeake Robotics Icebreaker,1,Offseason,null
CHS District Ashland VA Event,0,District,0
CHS District Blacksburg VA Event,0,District,0
Blue Ridge Brawl,1,Offseason,null
CHS District Falls Church VA Event presented by Department of Energy,0,District,3
Rumble #9 With Cheese,1,Offseason,null
CHS District Glen Allen VA Event,0,District,2
CHS District Portsmouth VA Event,0,District,1
PNW District Auburn Event,0,District,1
Bordie In Show,1,Offseason,null
PNW District Bonney Lake Event,0,District,2
Washington Girl’s Generation,1,Offseason,null
PNW Block Party,1,Offseason,null
PNW District Sammamish Event,0,District,3
PNW District Glacier Peak Event,0,District,0
Storm Surge,1,Offseason,null
PNW District SunDome Event,0,District,2
Week 0,0,Preseason,null
Leviathans Robotics Rampage,1,Offseason,null
Seven Rivers Regional,0,Regional,5
Mukwonago Robotics Offseason Competition,1,Offseason,null
Wisconsin Regional,0,Regional,2
Seven Rivers Robotics Coalition Week 0,0,Preseason,null
TWIST,1,Offseason,null
Where is Wolcott Invitational,1,Offseason,null
Sussex Scrimmage,0,Preseason,null
West Michigan Robotics Invitational,1,Offseason,null
WVROX,1,Offseason,null
Beijing World Robot Contest Championships FRC Program China Offseason Event,1,Offseason,null
Festival SESI de Robótica - Etapa Off Season - Mato Grosso,1,Offseason,null
Melbourne Robotics Tournament (MRT),1,Offseason,null
